: 1585658952:0;gem install lscolors
: 1585659370:0;mkd .notes
: 1585661135:0;./apple_defaults.zsh
: 1585671926:0;which *
: 1585672098:0;rails new test
: 1585684077:0;rm dozr
: 1585684176:0;rm dotfiles-temp
: 1585696709:0;defaults write com.apple.screencapture type -string "png"
: 1585740974:0;kill -9 2130
: 1585741692:0;sample test
: 1585741704:0;sample the music
: 1585741735:0;lyric tester
: 1585741769:0;h G apple
: 1585741984:0;kill -9 2221
: 1585742226:0;find /usr/local/bin
: 1585743922:0;which rubygems
: 1585743931:0;rubygems --version
: 1585788455:0;mv ~/.notes ~/Library/Mobile\ Documents/com~apple~CloudDocs/notes
: 1585788539:0;ln -s -i -v ~/Library/Mobile\ Documents/com\~apple\~CloudDocs/notes ~/.notes
: 1585840941:0;ruby-build.20200402161738.8352.log
: 1585840948:0;v ruby-build.20200402161738.8352.log
: 1585841506:0;h T 10
: 1585841747:0;h T -10
: 1585864666:0;which openssl
: 1585864673:0;openssl -v
: 1585864687:0;openssl --version
: 1585864797:0;rbenv install 2.2.2
: 1585865350:0;/var/folders/b5/kql5whjx1hq4hv68dn12nl2c0000gn/T/
: 1585865406:0;rm ruby-build*
: 1585865415:0;rm -Fr ruby-build*
: 1585866490:0;/usr/local/Cellar/
: 1585866593:0;find oppen
: 1585866602:0;find . open
: 1585866777:0;openssl version
: 1585866791:0;brew list openssl
: 1585867513:0;brew --list
: 1585867988:0;brew
: 1585868160:0;brew remove rbenv
: 1585868193:0;v .keepme
: 1585868223:0;brew uninstall ruby-build
: 1585868254:0;brew uninstall readline
: 1585868275:0;brew uninstall pkg-config
: 1585868290:0;brew uninstall autoconf
: 1585868865:0;rm .rbenv
: 1585868884:0;rm -Rf .subversion
: 1585869209:0;/Library/Ruby/Gems/2.6.0
: 1585869314:0;gem list --local
: 1585920352:0;brew find openssl@1.1
: 1585920365:0;brew search openssl@1.1
: 1585920453:0;brew install openssl@1.1
: 1585921455:0;rbenv init
: 1585921516:0;curl -fsSL https://github.com/rbenv/rbenv-installer/raw/master/bin/rbenv-doctor | bash
: 1585922606:0;gem env home
: 1585922697:0;bundler
: 1585922706:0;gem install bundler
: 1585923157:0;quote ill be back
: 1585923195:0;lyric sunshine on a rainy day
: 1585923985:0;mkd Code
: 1585924006:0;mkd Ruby
: 1585925893:0;rails _6.0.0_ new tester
: 1585926632:0;rails _5.2.1_ new proj
: 1585927486:0;rails new logger
: 1585927530:0;rails new shadow_chaser
: 1585927887:0;bundle --help
: 1585928017:0;rails console
: 1585932331:0;kill -9 40472
: 1585932347:0;kill -9 40516
: 1585932360:0;kill -9 40706
: 1585932372:0;kill -9 40602
